"TRM","location","cycleTime","year","residue.cumsum"
66135,"Edson",6.33913505555556,1990,264994.398449747
61035,"Edson",6.35575694444444,1990,265019.041992137
43065,"Edson",6.3696605,1990,265027.526494488
57046,"Edson",6.37179397222222,1990,265676.880827214
61205,"Edson",6.37804669444444,1990,268056.924320367
46025,"Edson",6.38800005555556,1990,268062.368814233
44125,"Edson",6.38962594444444,1990,273657.46559823
41165,"Edson",6.39289011111111,1990,277799.727156568
65215,"Edson",6.39583844444444,1990,277892.060063292
45035,"Edson",6.40085916666667,1990,277928.560528066
44065,"Edson",6.40531630555556,1990,278158.759044803
57066,"Edson",6.40838980555556,1990,279024.496940801
69095,"Edson",6.42257472222222,1990,279053.027724697
66085,"Edson",6.43098858333333,1990,291815.218004246
63055,"Edson",6.44230083333333,1990,291820.841535082
57225,"Edson",6.45646555555556,1990,292780.087662922
43115,"Edson",6.46094761111111,1990,294584.701926636
58255,"Edson",6.47781947222222,1990,294597.741116325
45125,"Edson",6.50368663888889,1990,297786.304185089
44075,"Edson",6.51298733333333,1990,297793.850002938
64075,"Edson",6.51910827777778,1990,297810.591107786
42075,"Edson",6.53204538888889,1990,299734.259978984
63065,"Edson",6.54193355555556,1990,300041.720704259
43075,"Edson",6.55017272222222,1990,301267.808901856
66215,"Edson",6.564535,1990,301270.87816142
61215,"Edson",6.57242555555556,1990,301294.878991999
59245,"Edson",6.59270944444444,1990,301365.295444807
60205,"Edson",6.60298111111111,1990,301401.137403463
70095,"Edson",6.62814055555556,1990,301452.176076832
62035,"Edson",6.64871805555556,1990,301487.860563462
63045,"Edson",6.66482888888889,1990,301532.798645896
43105,"Edson",6.68215722222222,1990,304270.651748571
42055,"Edson",6.68714277777778,1990,304286.619372424
44105,"Edson",6.72608305555556,1990,304292.726261638
41075,"Edson",6.7263075,1990,304432.075712251
60215,"Edson",6.73341777777778,1990,304453.97681871
45025,"Edson",6.7344525,1990,304497.526140807
58046,"Edson",6.74716555555556,1990,304641.790286094
61045,"Edson",6.79491527777778,1990,304657.294904113
66155,"Edson",6.83311555555556,1990,305964.23175495
71095,"Edson",6.84545916666667,1990,305967.193612575
42105,"Edson",6.84776555555556,1990,306665.712018921
45015,"Edson",6.85989666666667,1990,306668.452377282
57036,"Edson",6.86527555555555,1990,306676.140148309
58056,"Edson",6.8668175,1990,308044.18707782
40075,"Edson",6.88447555555556,1990,308048.353670649
41065,"Edson",6.89076444444444,1990,308051.075934239
67225,"Edson",6.90256666666667,1990,308057.704696785
56086,"Edson",6.94931833333333,1990,308139.904365035
64195,"Edson",6.96755666666667,1990,308155.844270204
62045,"Edson",6.99932888888889,1990,308198.7077208
43035,"Edson",7.01347333333333,1990,308283.847668374
58036,"Edson",7.02955055555556,1990,308787.75860812
39075,"Edson",7.03584388888889,1990,308798.666694096
69085,"Edson",7.04500833333333,1990,308858.70244548
68085,"Edson",7.05672027777778,1990,312565.543411027
66145,"Edson",7.06199111111111,1990,313825.759854773
40285,"Edson",7.06328333333333,1990,313829.110318094
68105,"Edson",7.07358777777778,1990,314244.839483485
43045,"Edson",7.09057777777778,1990,314255.234722824
62015,"Edson",7.09813111111111,1990,314256.415669608
63215,"Edson",7.10081055555556,1990,318549.386834278
65205,"Edson",7.11280055555556,1990,318712.101635623
43055,"Edson",7.11347166666667,1990,318801.967867171
72095,"Edson",7.15007861111111,1990,318902.486603048
43125,"Edson",7.16728611111111,1990,323413.66315288
64055,"Edson",7.17475222222222,1990,323485.213511302
59046,"Edson",7.21295055555556,1990,327125.399912488
73095,"Edson",7.21764777777778,1990,327798.659791337
40145,"Edson",7.22132805555556,1990,327816.73388212
42155,"Edson",7.22288333333333,1990,327840.376029478
73105,"Edson",7.24152111111111,1990,328384.637689063
42015,"Edson",7.25047333333333,1990,328455.116924384
57214,"Edson",7.29292888888889,1990,328464.66133382
45095,"Edson",7.32718944444444,1990,328478.031900195
44055,"Edson",7.33017111111111,1990,328488.057158602
40085,"Edson",7.34613055555556,1990,328495.905917964
58224,"Edson",7.39434805555555,1990,328499.511563449
42115,"Edson",7.39498833333333,1990,328897.613320625
44045,"Edson",7.39880555555556,1990,328906.281732648
58026,"Edson",7.40795472222222,1990,329991.407679589
72105,"Edson",7.42084333333333,1990,330059.471774945
41045,"Edson",7.43832944444444,1990,330066.09688954
59026,"Edson",7.44591583333333,1990,331036.099181546
73085,"Edson",7.47069305555556,1990,331260.817572028
39055,"Edson",7.47510416666667,1990,331302.077110572
59234,"Edson",7.47894333333333,1990,331348.213534078
40095,"Edson",7.49820444444444,1990,331432.013356929
66165,"Edson",7.50476222222222,1990,333648.550017702
40105,"Edson",7.52234277777778,1990,333775.020533808
59036,"Edson",7.5339125,1990,339792.054088662
42095,"Edson",7.55268305555556,1990,342028.478170567
65075,"Edson",7.55424027777778,1990,342306.854240933
43095,"Edson",7.55850555555556,1990,342429.391204833
71085,"Edson",7.59036111111111,1990,342567.219598027
65245,"Edson",7.60757777777778,1990,345460.795534875
73115,"Edson",7.60874,1990,345751.184346169
58016,"Edson",7.60922666666667,1990,347025.089894884
42085,"Edson",7.64506277777778,1990,348049.769494701
67235,"Edson",7.65494666666667,1990,348064.884896779
70235,"Edson",7.65828638888889,1990,348150.719054123
57204,"Edson",7.6608025,1990,348198.989012928
65225,"Edson",7.68891166666667,1990,348203.994242398
63264,"Edson",7.69458055555556,1990,348219.080804248
41095,"Edson",7.70419694444444,1990,349819.652110217
65195,"Edson",7.7073225,1990,349923.715621545
58086,"Edson",7.70904333333333,1990,349927.689818583
62254,"Edson",7.71538527777778,1990,349940.712877431
60036,"Edson",7.72864777777778,1990,350301.339397554
37075,"Edson",7.73572055555556,1990,351428.484959528
73075,"Edson",7.74619444444444,1990,351436.895875386
37065,"Edson",7.74765055555556,1990,351438.943405394
60234,"Edson",7.78264333333333,1990,351446.915018696
57026,"Edson",7.78324777777778,1990,355448.937472696
66245,"Edson",7.84003944444444,1990,355457.278872572
59066,"Edson",7.84574555555556,1990,355605.987612675
73125,"Edson",7.85239388888889,1990,357311.174354747
68235,"Edson",7.85891777777778,1990,357485.720329639
71105,"Edson",7.8976,1990,357558.354954808
67145,"Edson",7.92092833333333,1990,362829.430981972
63225,"Edson",7.93057333333333,1990,369730.793336539
73065,"Edson",7.93353444444444,1990,369740.896628194
61036,"Edson",7.95545388888889,1990,370266.685124838
