TRM,edson_median,hinton_median,whitecourt_median
"010204",26975.987,28641.711,27079.954
"010214",26463.4065,28172.964,26569.54
"010224",25986.722,27772.343,26096.6925
"010234",25461.6115,27244.5665,25567.556
"010244",25322.425,27104.825,25424.772
"010254",24799.7005,26581.564,24902.448
"010264",24231.9255,26013.205,24336.917
"010274",24577.41,26353.414,24675.516
"010284",25765.498,27544.74,25872.666
"010294",26827.753,28518.4335,26935.361
"010304",26657.034,28267.221,26759.183
"011014",,,
"011015",24124.8025,25731.96,24235.461
"011024",,,
"011025",24289.3735,25773.871,24389.4995
"011034",,,
"011035",25114.9705,25267.614,25220.454
"011044",,,
"011045",26233.889,26014.072,26322.832
"011054",,,28791.048
"011055",27885.498,27580.725,27988.0805
"011064",,,28795.447
"011065",28406.135,28150.511,28494.48
"011074",28797.396,,28792.85
"011084",28797.402,,28793.609
"011094",28797.4605,,28795.283
"011104",28797.619,,28796.78
"011114",28797.776,,28794.269
"011124",28797.9905,,28788.913
"011134",28797.8505,,28786.3385
"011144",28735.305,,28518.68
"011154",28557.5815,28794.284,28150.593
"011164",28032.025,28792.26,27549.09
"011174",28400.961,28791.537,27980.1035
"011184",28465.03,28796.053,28523.925
"011194",27421.762,28775.938,27530.1655
"011204",26574.436,28357.515,26679.557
"011214",26159.016,27942.633,26267.8025
"011224",25884.034,27668.563,25991.467
"011234",25202.025,26985.444,25308.535
"011244",25125.5805,26905.927,25228.934
"011254",24707.11,26487.8605,24809.816
"011264",23891.278,25671.656,23997.708
"011274",23908.501,25690.351,24009.595
"011284",24787.139,26576.989,24891.7515
"011294",25372.344,27126.867,25491.722
"011304",24721.0405,26372.9985,24797.266
"012014",,,
"012015",23867.744,25492.709,23973.529
"012024",,,
"012025",23702.208,25140.173,23811.614
"012034",,,
"012035",24122.679,24572.815,24228.8885
"012044",,,28796.209
"012045",25683.236,25431.417,25786.9135
"012054",28798.511,,28718.661
"012055",27438.783,26732.199,27542.502
"012064",28797.96,,28670.128
"012074",28798.29,,28793.984
