"","TRM","FMU","Ecozone","res_con","res_dec","res_total"
"36",60215,"W15",9,19.6437394804149,1.73733187469669,21.3810713551116
"37",60225,"W15",9,16.5973687240444,1.06515584337282,17.6625245674172
"38",62245,"W15",9,18.7170248984177,3.86441600725032,22.581440905668
"39",58185,"W15",9,18.5650523789443,2.31921511953163,20.8842674984759
"40",62205,"W15",9,15.3476241557902,10.8799546122874,26.2275787680776
"41",59235,"W15",9,18.7243517478795,1.19668930808649,19.921041055966
"42",58026,"W15",9,17.3282291298748,0.283743187749971,17.6119723176247
"43",58026,"W15",14,14.154533608799,0.384871063711298,14.5394046725103
"44",57036,"W15",14,14.9606420538566,0.174818435261121,15.1354604891177
"45",55056,"W15",14,14.1099770560381,0.0067140620180778,14.1166911180562
"46",61205,"W15",9,16.6819893914825,7.51598719898892,24.1979765904715
"47",58215,"W15",9,23.3958601198033,4.09575208015365,27.4916121999569
"48",61215,"W15",9,15.8502741249114,6.97169863932153,22.821972764233
"49",64215,"W15",9,18.4055338915188,8.32536767341286,26.7309015649317
"50",58255,"W15",9,17.3503760261797,1.54894569244203,18.8993217186217
"51",57265,"W15",9,19.3399216286121,0.822423792523419,20.1623454211355
"52",57275,"W15",9,20.0031577273416,0.597475426454633,20.6006331537963
"53",58225,"W15",9,15.9686885995999,1.4634790685406,17.4321676681405
"54",62225,"W15",9,17.8215587854017,6.8245233916157,24.6460821770174
"55",60235,"W15",9,17.8948513756395,1.81497381113482,19.7098251867743
"56",63235,"W15",9,23.9486939733046,3.54009612501386,27.4887900983184
"57",60245,"W15",9,16.650803096655,1.24948813984727,17.9002912365023
"58",63245,"W15",9,19.9598676666633,4.93655857012215,24.8964262367855
"59",57026,"W15",9,18.5396067507695,0.0666601365287239,18.6062668872982
"60",57026,"W15",14,15.1440452963112,0.090418232967614,15.2344635292789
"61",56036,"W15",14,22.4174572938706,0.00757739197630158,22.4250346858469
"62",56046,"W15",14,15.9290781650068,0.0413553838886733,15.9704335488955
"63",59255,"W15",9,18.3232619653942,0.114451733407752,18.437713698802
"64",59175,"W15",9,23.8258078344968,3.20628978022071,27.0320976147175
"65",60175,"W15",9,19.1431989222178,6.37759257204986,25.5207914942677
"66",64085,"W14",9,20.9208168206588,2.7267030097567,23.6475198304155
"67",65085,"W14",9,25.7729422568384,1.9350027079537,27.7079449647921
"68",59185,"W14",9,24.8228679531977,2.57786556125137,27.4007335144491
"69",60185,"W14",9,19.5753376641108,2.95754195095218,22.532879615063
"70",63185,"W14",9,26.3272584129304,2.537644157886,28.8649025708164
"71",64185,"W14",9,22.801291918805,2.07523609432448,24.8765280131295
"72",59195,"W14",9,23.8477503049933,1.2778121943377,25.125562499331
"73",61195,"W14",9,23.3736536733263,1.8713552460108,25.2450089193371
"74",62195,"W14",9,16.4730069748229,5.30896067076648,21.7819676455894
"75",65195,"W14",9,25.0224159680665,3.56661023913084,28.5890262071973
"76",66195,"W14",9,23.0508634720428,3.92186155738811,26.9727250294309
"77",61095,"W14",9,18.2254947657637,5.04247070354929,23.267965469313
"78",63095,"W14",9,21.4253489914104,3.01267897222987,24.4380279636403
"79",65095,"W14",9,24.3315152236199,1.69088566584474,26.0224008894646
"80",67095,"W14",9,21.9600897760018,1.88039377141023,23.840483547412
"81",61105,"W14",9,23.4260391168703,3.83734590006578,27.2633850169361
"82",62105,"W14",9,20.3463466478204,4.07259703362222,24.4189436814426
"83",65105,"W14",9,27.619415570894,0.887936749349769,28.5073523202438
"84",60205,"W14",9,22.1855728796861,0.704288962306319,22.8898618419925
"85",63205,"W14",9,15.7841962560081,4.44243837302769,20.2266346290358
"86",64205,"W14",9,15.436576123139,5.29641974389202,20.732995867031
