TRM,m²,sum,count,mean_merch_volume
60215.00000000,29562500.00000000,40679.31671143,"473",86.00278375
90124.00000000,3937500.00000000,4882.26331329,"63",77.49624307
125145.00000000,2562500.00000000,3546.12668228,"41",86.49089469
119114.00000000,562500.00000000,800.63332748,"9",88.95925861
70055.00000000,16125000.00000000,31893.10346222,"258",123.61668009
123204.00000000,3250000.00000000,4176.01000595,"52",80.30788473
94104.00000000,10750000.00000000,11100.03985977,"172",64.53511546
74104.00000000,937500.00000000,1022.48667526,"15",68.16577835
61214.00000000,62500.00000000,132.13665771,"1",132.13665771
79154.00000000,125000.00000000,187.73666382,"2",93.86833191
51155.00000000,40187500.00000000,84059.65662003,"643",130.73041465
107185.00000000,5625000.00000000,8967.78318787,"90",99.64203542
111056.00000000,24437500.00000000,52013.46629333,"391",133.02676801
92184.00000000,3250000.00000000,5723.31992340,"52",110.06384468
111105.00000000,41687500.00000000,71877.14702988,"667",107.76183963
23025.00000000,1875000.00000000,3624.61991119,"30",120.82066371
52016.00000000,69250000.00000000,111076.78278351,"1108",100.24980396
79244.00000000,13500000.00000000,26838.41991806,"216",124.25194407
84026.00000000,11312500.00000000,19936.40666580,"181",110.14589318
109035.00000000,3312500.00000000,4825.43321228,"53",91.04590967
92024.00000000,625000.00000000,758.76333618,"10",75.87633362
87155.00000000,12687500.00000000,22016.64006805,"203",108.45635502
115165.00000000,750000.00000000,823.30668259,"12",68.60889022
63046.00000000,30625000.00000000,59178.17003632,"490",120.77177558
99194.00000000,750000.00000000,1497.26668167,"12",124.77222347
55115.00000000,17812500.00000000,43542.53678131,"285",152.78083081
62154.00000000,1187500.00000000,1789.45000076,"19",94.18157899
113065.00000000,125000.00000000,108.72000122,"2",54.36000061
121046.00000000,8750000.00000000,10066.85995865,"140",71.90614256
85045.00000000,10187500.00000000,18180.77003860,"163",111.53846649
64195.00000000,18187500.00000000,36804.85021210,"291",126.47714850
60155.00000000,29812500.00000000,59751.93999100,"477",125.26612157
122105.00000000,14625000.00000000,21927.51352692,"234",93.70732276
89066.00000000,45750000.00000000,75491.50354004,"732",103.13046932
77185.00000000,16875000.00000000,34381.59684753,"270",127.33924758
44275.00000000,12000000.00000000,26479.80339050,"192",137.91564266
70115.00000000,47562500.00000000,109859.38938522,"761",144.36187830
104046.00000000,15000000.00000000,30314.65645218,"240",126.31106855
93054.00000000,375000.00000000,447.26000977,"6",74.54333496
19075.00000000,19312500.00000000,39581.70378494,"309",128.09612875
98124.00000000,2312500.00000000,3942.00665665,"37",106.54072045
74235.00000000,2937500.00000000,5189.87002945,"47",110.42276658
