Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
1599,AB,9,ABIE,LAS,,19.5,15.15,71,12,19,13
1600,AB,9,ABIE,LAS,,19.6,15.18,72,13,19,13
1601,AB,9,ABIE,LAS,,19.7,15.21,72,13,20,13
1602,AB,9,ABIE,LAS,,19.8,15.24,73,13,20,14
1603,AB,9,ABIE,LAS,,19.9,15.27,74,13,20,14
1604,AB,9,ABIE,LAS,,20,15.3,75,13,21,14
1605,AB,9,ABIE,LAS,,20.1,15.33,75,13,21,14
1606,AB,9,ABIE,LAS,,20.2,15.36,76,13,21,14
1607,AB,9,ABIE,LAS,,20.3,15.39,77,14,22,14
1608,AB,9,ABIE,LAS,,20.4,15.42,78,14,22,15
1609,AB,9,ABIE,LAS,,20.5,15.44,79,14,22,15
1610,AB,9,ABIE,LAS,,20.6,15.47,79,14,23,15
1611,AB,9,ABIE,LAS,,20.7,15.5,80,14,23,15
1612,AB,9,ABIE,LAS,,20.8,15.53,81,14,23,15
1613,AB,9,ABIE,LAS,,20.9,15.56,82,14,24,16
1614,AB,9,ABIE,LAS,,21,15.59,83,15,24,16
1615,AB,9,ABIE,LAS,,21.1,15.62,83,15,24,16
1616,AB,9,ABIE,LAS,,21.2,15.64,84,15,25,16
1617,AB,9,ABIE,LAS,,21.3,15.67,85,15,25,16
1618,AB,9,ABIE,LAS,,21.4,15.7,86,15,25,17
1619,AB,9,ABIE,LAS,,21.5,15.73,87,15,26,17
1620,AB,9,ABIE,LAS,,21.6,15.76,88,15,26,17
1621,AB,9,ABIE,LAS,,21.7,15.78,88,16,26,17
1622,AB,9,ABIE,LAS,,21.8,15.81,89,16,27,17
1623,AB,9,ABIE,LAS,,21.9,15.84,90,16,27,18
1624,AB,9,ABIE,LAS,,22,15.87,91,16,28,18
1625,AB,9,ABIE,LAS,,22.1,15.89,92,16,28,18
1626,AB,9,ABIE,LAS,,22.2,15.92,93,16,28,18
1627,AB,9,ABIE,LAS,,22.3,15.95,94,17,29,18
1628,AB,9,ABIE,LAS,,22.4,15.98,95,17,29,19
1629,AB,9,ABIE,LAS,,22.5,16,95,17,30,19
1630,AB,9,ABIE,LAS,,22.6,16.03,96,17,30,19
1631,AB,9,ABIE,LAS,,22.7,16.06,97,17,30,19
1632,AB,9,ABIE,LAS,,22.8,16.09,98,17,31,19
1633,AB,9,ABIE,LAS,,22.9,16.11,99,18,31,20
1634,AB,9,ABIE,LAS,,23,16.14,100,18,32,20
1635,AB,9,ABIE,LAS,,23.1,16.17,101,18,32,20
1636,AB,9,ABIE,LAS,,23.2,16.19,102,18,32,20
1637,AB,9,ABIE,LAS,,23.3,16.22,103,18,33,20
1638,AB,9,ABIE,LAS,,23.4,16.25,104,18,33,21
1639,AB,9,ABIE,LAS,,23.5,16.27,105,19,34,21
1640,AB,9,ABIE,LAS,,23.6,16.3,106,19,34,21
1641,AB,9,ABIE,LAS,,23.7,16.33,107,19,35,21
1642,AB,9,ABIE,LAS,,23.8,16.35,107,19,35,22
1643,AB,9,ABIE,LAS,,23.9,16.38,108,19,36,22
1644,AB,9,ABIE,LAS,,24,16.4,109,19,36,22
1645,AB,9,ABIE,LAS,,24.1,16.43,110,20,36,22
1646,AB,9,ABIE,LAS,,24.2,16.46,111,20,37,23
1647,AB,9,ABIE,LAS,,24.3,16.48,112,20,37,23
1648,AB,9,ABIE,LAS,,24.4,16.51,113,20,38,23
1649,AB,9,ABIE,LAS,,24.5,16.53,114,20,38,23
1650,AB,9,ABIE,LAS,,24.6,16.56,115,20,39,23
1651,AB,9,ABIE,LAS,,24.7,16.59,116,21,39,24
1652,AB,9,ABIE,LAS,,24.8,16.61,117,21,40,24
1653,AB,9,ABIE,LAS,,24.9,16.64,118,21,40,24
1654,AB,9,ABIE,LAS,,25,16.66,119,21,41,24
1655,AB,9,ABIE,LAS,,25.1,16.69,120,21,41,25
1656,AB,9,ABIE,LAS,,25.2,16.71,121,22,42,25
1657,AB,9,ABIE,LAS,,25.3,16.74,122,22,42,25
1658,AB,9,ABIE,LAS,,25.4,16.76,123,22,43,25
1659,AB,9,ABIE,LAS,,25.5,16.79,124,22,43,26
1660,AB,9,ABIE,LAS,,25.6,16.81,125,22,44,26
1661,AB,9,ABIE,LAS,,25.7,16.84,126,22,44,26
1662,AB,9,ABIE,LAS,,25.8,16.86,127,23,45,27
1663,AB,9,ABIE,LAS,,25.9,16.89,128,23,45,27
1664,AB,9,ABIE,LAS,,26,16.91,129,23,46,27
1665,AB,9,ABIE,LAS,,26.1,16.94,130,23,47,27
1666,AB,9,ABIE,LAS,,26.2,16.96,131,23,47,28
1667,AB,9,ABIE,LAS,,26.3,16.99,132,24,48,28
1668,AB,9,ABIE,LAS,,26.4,17.01,133,24,48,28
1669,AB,9,ABIE,LAS,,26.5,17.04,135,24,49,28
1670,AB,9,ABIE,LAS,,26.6,17.06,136,24,49,29
1671,AB,9,ABIE,LAS,,26.7,17.09,137,24,50,29
1672,AB,9,ABIE,LAS,,26.8,17.11,138,25,50,29
1673,AB,9,ABIE,LAS,,26.9,17.13,139,25,51,29
1674,AB,9,ABIE,LAS,,27,17.16,140,25,52,30
1675,AB,9,ABIE,LAS,,27.1,17.18,141,25,52,30
1676,AB,9,ABIE,LAS,,27.2,17.21,142,25,53,30
1677,AB,9,ABIE,LAS,,27.3,17.23,143,26,53,31
1678,AB,9,ABIE,LAS,,27.4,17.26,144,26,54,31
1679,AB,9,ABIE,LAS,,27.5,17.28,145,26,55,31
1680,AB,9,ABIE,LAS,,27.6,17.3,146,26,55,31
1681,AB,9,ABIE,LAS,,27.7,17.33,148,26,56,32
1682,AB,9,ABIE,LAS,,27.8,17.35,149,27,56,32
1683,AB,9,ABIE,LAS,,27.9,17.38,150,27,57,32
1684,AB,9,ABIE,LAS,,28,17.4,151,27,58,33
1685,AB,9,ABIE,LAS,,28.1,17.42,152,27,58,33
1686,AB,9,ABIE,LAS,,28.2,17.45,153,27,59,33
1687,AB,9,ABIE,LAS,,28.3,17.47,154,28,60,33
1688,AB,9,ABIE,LAS,,28.4,17.49,155,28,60,34
1689,AB,9,ABIE,LAS,,28.5,17.52,157,28,61,34
1690,AB,9,ABIE,LAS,,28.6,17.54,158,28,62,34
1691,AB,9,ABIE,LAS,,28.7,17.56,159,28,62,35
1692,AB,9,ABIE,LAS,,28.8,17.59,160,29,63,35
1693,AB,9,ABIE,LAS,,28.9,17.61,161,29,64,35
1694,AB,9,ABIE,LAS,,29,17.63,162,29,64,36
1695,AB,9,ABIE,LAS,,29.1,17.66,164,29,65,36
1696,AB,9,ABIE,LAS,,29.2,17.68,165,30,66,36
1697,AB,9,ABIE,LAS,,29.3,17.7,166,30,66,37
1698,AB,9,ABIE,LAS,,29.4,17.73,167,30,67,37
1699,AB,9,ABIE,LAS,,29.5,17.75,168,30,68,37
1700,AB,9,ABIE,LAS,,29.6,17.77,170,30,68,37
1701,AB,9,ABIE,LAS,,29.7,17.8,171,31,69,38
1702,AB,9,ABIE,LAS,,29.8,17.82,172,31,70,38
1703,AB,9,ABIE,LAS,,29.9,17.84,173,31,71,38
1704,AB,9,ABIE,LAS,,30,17.86,174,31,71,39
2556,AB,14,ABIE,LAS,,15,13.71,41,7,9,7
2557,AB,14,ABIE,LAS,,15.1,13.74,41,7,9,7
2558,AB,14,ABIE,LAS,,15.2,13.78,42,7,9,7
2559,AB,14,ABIE,LAS,,15.3,13.81,43,7,9,7
2560,AB,14,ABIE,LAS,,15.4,13.85,43,7,9,7
2561,AB,14,ABIE,LAS,,15.5,13.88,44,8,9,7
2562,AB,14,ABIE,LAS,,15.6,13.91,44,8,10,7
2563,AB,14,ABIE,LAS,,15.7,13.95,45,8,10,8
2564,AB,14,ABIE,LAS,,15.8,13.98,46,8,10,8
2565,AB,14,ABIE,LAS,,15.9,14.02,46,8,10,8
2566,AB,14,ABIE,LAS,,16,14.05,47,8,10,8
2567,AB,14,ABIE,LAS,,16.1,14.08,47,8,11,8
2568,AB,14,ABIE,LAS,,16.2,14.12,48,8,11,8
2569,AB,14,ABIE,LAS,,16.3,14.15,49,8,11,8
2570,AB,14,ABIE,LAS,,16.4,14.18,49,9,11,8
2571,AB,14,ABIE,LAS,,16.5,14.22,50,9,11,9
2572,AB,14,ABIE,LAS,,16.6,14.25,51,9,12,9
2573,AB,14,ABIE,LAS,,16.7,14.28,51,9,12,9
2574,AB,14,ABIE,LAS,,16.8,14.31,52,9,12,9
2575,AB,14,ABIE,LAS,,16.9,14.35,52,9,12,9
2576,AB,14,ABIE,LAS,,17,14.38,53,9,13,9
2577,AB,14,ABIE,LAS,,17.1,14.41,54,9,13,9
2578,AB,14,ABIE,LAS,,17.2,14.44,54,9,13,10
2579,AB,14,ABIE,LAS,,17.3,14.47,55,10,13,10
2580,AB,14,ABIE,LAS,,17.4,14.51,56,10,13,10
2581,AB,14,ABIE,LAS,,17.5,14.54,56,10,14,10
2582,AB,14,ABIE,LAS,,17.6,14.57,57,10,14,10
2583,AB,14,ABIE,LAS,,17.7,14.6,58,10,14,10
2584,AB,14,ABIE,LAS,,17.8,14.63,58,10,14,10
2585,AB,14,ABIE,LAS,,17.9,14.66,59,10,15,11
2586,AB,14,ABIE,LAS,,18,14.7,60,10,15,11
2587,AB,14,ABIE,LAS,,18.1,14.73,61,11,15,11
