TRM,FMU,Ecozone,CD,sp,vol,stems,residue
62195,W14,9,con,Sw,173.396162285569,520.709196052761,22.650329319099
65195,W14,9,con,Sw,263.758702789216,792.068176544191,34.4541736114958
66195,W14,9,con,Sw,242.964584281397,729.623376220411,31.7378872422116
61095,W14,9,con,Sw,192.111384463835,576.91106445596,25.0950543927698
63095,W14,9,con,Sw,224.90334676679,675.385425726097,29.3785906336595
65095,W14,9,con,Sb,224.954263716946,675.538329480317,33.4287440190017
67095,W14,9,con,Sw,231.469455031267,695.103468562362,30.2363057789942
61105,W14,9,con,Sw,246.931459249999,741.53591366366,32.2560707084556
62105,W14,9,con,Sw,213.802607726119,642.049873051407,27.9285274278632
65105,W14,9,con,Sb,255.705914938956,767.885630447316,37.9985132684332
60205,W14,9,con,Sb,205.395375443427,616.80292925954,30.5222462332366
63205,W14,9,con,Sw,166.122277115184,498.865697042593,21.7001589556558
64205,W14,9,con,Sw,162.350902453154,487.540247607068,21.2075132306599
66205,W14,9,con,Sw,298.507264203227,896.418210820502,38.993295752481
62215,W14,9,con,Sw,191.80220132878,575.982586572913,25.0546665333351
63215,W14,9,con,Sw,190.296975760167,571.46238967017,24.8580424882627
66185,W14,9,con,Sw,280.630636486827,842.734644104585,36.6581142839053
62085,W14,9,con,Sw,174.718903232794,524.68139108947,22.8231158310009
66085,W14,9,con,Sw,256.865082819222,771.366615072738,33.5536763890491
63085,W14,9,con,Sw,234.03053493573,702.794399206397,30.570853571079
61185,W14,9,con,Sb,221.806752061928,666.086342528312,32.9610162254765
63195,W14,9,con,Sw,179.792730630179,539.918110000537,23.4858978669133
62185,W14,9,con,Sw,229.829044817897,690.177311765457,30.0220228844856
65185,W14,9,con,Sw,235.836583451657,708.217968323294,30.806773404095
60195,W14,9,con,Sb,232.276987750908,697.528491744469,34.5169184025784
64195,W14,9,con,Sw,223.98391645123,672.624373727417,29.2584876327689
59095,W14,9,con,Sw,202.487541495972,608.070695183099,26.4504671697696
64095,W14,9,con,Sw,222.769455305638,668.977343260175,29.0998454544744
59105,W14,9,con,Sw,170.410454605514,511.743106923467,22.2603134080639
64105,W14,9,con,Sw,236.748917647543,710.957710653284,30.9259494557072
