TRM,merchvol_sum,abie_bal,abie_las,betu_pap,lari_lar,lari_lya,pice_eng,pice_gla,pice_mar,pinu_ban,pinu_con,pinu_spp,popu_bal,popu_spp,popu_tre,pseu_men,max value,max_species
73016,99.27333069,0,0,0,0,0,0,8.283333925,0,0,0,0,10.06999994,0,80.84333283,0,80.84333283,popu_tre
73024,741.153347,0,0,0,1.151222709,0,0,25.09687158,20.28799279,27.94908829,0.080196227,0,0.71987675,0,24.56468283,0,27.94908829,pinu_ban
73025,33721.20332,1.275790482,0,0.888192012,2.7901638,0,0,30.73418477,14.26645265,6.350253679,0.38862532,0.004941314,2.924921779,0.00930638,39.87739552,0,39.87739552,popu_tre
73026,1869.18668,1.090559475,0,2.065455564,0,0,0,29.41265381,0,0,0.444744658,0,11.87588262,0,54.79255145,0,54.79255145,popu_tre
73034,886.6000099,2.435920932,0,0.027262917,3.354239851,0,0,18.58097115,37.430409,14.39724129,0,0,0.759419098,0,22.4280654,0,37.430409,pice_mar
73035,29866.75326,1.145542395,0,0.895655623,2.230502071,0,0,29.06696407,8.426674287,4.711493076,0.264159993,0.00160985,3.919869427,0.01506963,48.89527293,0,48.89527293,popu_tre
73036,261.4466629,0.946666627,0,0.003333333,0,0,0,29.60815893,0,0,0,0,13.9022856,0,54.26897862,0,54.26897862,popu_tre
73044,3383.526688,0.473456532,0,1.159823662,4.186742655,0,0,14.13984873,34.48988046,6.926137134,0,0,1.200995043,0,36.09035106,0,36.09035106,popu_tre
73045,3730.376678,0.735308513,0,0.867203152,7.69335463,0,0,24.27482369,13.8242826,6.6996653,0.083228045,0.008548696,3.287014757,0.004554923,41.93612561,0,41.93612561,popu_tre
73046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73054,2473.920017,0.30967052,0,1.152884717,4.624826479,0,0,20.81739824,26.59060251,10.95024361,0.010296736,0,2.368206678,0,32.643946,0,32.643946,popu_tre
73055,3346.016613,1.200043169,0,2.001689039,5.823403167,0,0,28.32256686,9.843641572,2.347655001,0.042622199,0,3.456887843,0,45.83151324,0,45.83151324,popu_tre
73056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73064,9208.473446,0.300611577,0,0.074020532,2.514190394,0,0,23.36238266,39.06593859,18.78419084,0.196630952,0,0.41657512,0,15.03777038,0,39.06593859,pice_mar
73065,8063.493328,0.893335627,0,0.572121428,3.195127027,0,0,36.42403192,8.887526128,2.068585293,0.327750533,0.015266716,3.320531112,0,43.77884047,0,43.77884047,popu_tre
73066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73074,2744.196655,0.436325716,0,0.380091758,2.634294871,0,0,24.69850944,31.74328326,11.58592725,0.167616391,0.472810039,0.780362702,0,27.03243206,0,31.74328326,pice_mar
73075,23459.09663,3.239003426,0,0.877966068,1.122405786,0,0,30.39664167,11.01641059,2.922441081,1.668090023,0,5.087877414,0.030463055,43.3175583,0,43.3175583,popu_tre
73076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73084,4663.38998,0.203997434,0,0.240581699,2.51173764,0,0,20.71195951,38.37074182,16.82165644,0.058909106,0.004797528,0.808931558,0,20.04689112,0,38.37074182,pice_mar
73085,37950.4766,2.010782439,0,0.539001574,1.044892365,0,0,30.55887856,9.721289968,3.246839132,1.671359668,0,4.164486803,0.027359514,46.64810305,0,46.64810305,popu_tre
73086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73094,4919.103336,0.40459249,0,1.176013197,2.125608621,0,0,25.48428821,24.8754813,9.803034031,0.327507075,0.017507931,1.33085067,0,33.83556473,0,33.83556473,popu_tre
73095,13401.97984,1.607779654,0,0.831185624,5.708289051,0,0,25.25120152,8.374787293,2.855864132,0.84497313,0,3.151365835,0.015420692,50.45926362,0,50.45926362,popu_tre
73096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73104,8436.476646,0.108941598,0,0.568597944,1.767608033,0,0,23.82591887,17.07674317,9.706286483,0.139417155,0,2.737988318,0,43.83355046,0,43.83355046,popu_tre
73105,1789.339981,0,0,0.118566989,0.342476333,0,0,8.179398127,1.069491022,0,0,0,3.336289276,0,85.87748101,0,85.87748101,popu_tre
73106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73114,4166.419968,0.544781821,0,0.930480987,1.445150228,0,0,24.57506008,9.671628628,5.174639786,0,0,3.938568287,0,53.48200528,0,53.48200528,popu_tre
73115,3043.53334,0.605176107,0,0.895495027,0.626119044,0,0,28.57809093,6.202530317,0.790548825,0.321903718,0,6.30355349,0,55.24176773,0,55.24176773,popu_tre
73116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73124,9430.766628,0.561179598,0,0.857559683,0.369961381,0,0,24.92954733,5.002780948,2.493442482,0,0,4.215207055,0,61.1647485,0,61.1647485,popu_tre
73125,5891.063354,1.513378411,0,1.148728924,2.154279335,0,0,27.08683065,2.371683974,0.233510102,0.32754164,0,4.769827292,0.029019123,59.9724414,0,59.9724414,popu_tre
73126,376.783329,0,0,0,0,0,0,2.705926242,0,0,1.216155119,0,14.81498573,0,80.19881543,0,80.19881543,popu_tre
73134,1625.083321,0.776336734,0,2.254522737,6.189171071,0,0,25.10157659,14.41751242,1.68301439,0.050655864,0.006786277,5.299685186,0,43.08788533,0,43.08788533,popu_tre
73135,5549.953308,0.977906116,0,0.722793385,1.574407114,0,0,21.10329474,6.971498506,3.027587999,0.701684716,0.061840428,6.269309216,0.013192696,57.72530814,0,57.72530814,popu_tre
73136,29080.56023,0,0.015215764,1.202044801,0.309553942,0,0,18.3390916,3.909048896,0,5.353431799,0,14.10379113,0,56.18870843,0,56.18870843,popu_tre
73144,1092.043327,1.31672807,0,0.607297172,10.6776564,0,0,29.85624781,19.14886819,3.244821205,0,0,2.578004366,0,30.76776384,0,30.76776384,popu_tre
73145,30006.51328,1.138853262,0,0.66308487,5.192696613,0,0,27.85963015,15.1309097,6.725884911,0.513740247,0.003287237,3.487886674,0.027314098,38.39316866,0,38.39316866,popu_tre
73146,663.5366669,0,0,0.066703106,0.703343271,0,0,15.92382925,7.482778246,0,4.876087198,0,11.93273709,0,58.81949013,0,58.81949013,popu_tre
73154,16207.92999,2.136578745,0,1.012381634,2.894358457,0,0,33.79744559,14.49496273,3.853330028,0.128412453,0.001380358,1.208369702,0,39.88970374,0,39.88970374,popu_tre
73155,16979.2565,1.245925593,0,1.043573346,8.335471372,0,0,26.62711283,15.92318454,3.494755008,0.151895836,0.000649514,3.734237242,0.002450009,38.32950347,0,38.32950347,popu_tre
73164,14772.62323,1.512129461,0,1.876829121,6.816138908,0,0,32.25801042,21.24298193,5.789606627,0.068917964,0.010563703,1.255391993,0,28.18606721,0,32.25801042,pice_gla
73165,6234.940052,1.892805625,0,2.414931768,5.382408399,0,0,21.70161217,15.39391363,3.236543883,0.01063991,0,3.366533601,0,45.84452336,0,45.84452336,popu_tre
73174,7091.576679,1.706243339,0,2.562470908,13.98720455,0,0,21.54588409,24.229369,4.033012262,0.006551548,0.002827843,1.843528767,0,29.0120151,0,29.0120151,popu_tre
73175,1624.393368,0,0,2.450446934,5.659720527,0,0,12.57838749,8.267171182,0.275312385,0,0.262763019,16.47878896,0,53.3422624,0,53.3422624,popu_tre
73184,36565.97316,4.891468034,0,2.326541493,4.172064316,0,0,31.27247532,17.09249533,4.985287387,0.004482701,0.02292396,3.701308907,0,30.90797105,0,31.27247532,pice_gla
73185,659.1333084,0,0,0.183201298,0.483488879,0,0,7.448727509,1.315659304,0,0,0,9.006591401,0,80.88676813,0,80.88676813,popu_tre
73194,49533.75981,2.184627566,0,0.370518642,2.673322933,0,0,32.89252368,13.12479143,5.938275752,0.903412215,0,2.174782354,0.014176735,39.13746995,0,39.13746995,popu_tre
73195,1481.43,1.760024948,0,2.617936708,2.496424565,0,0,18.20482743,5.318764249,0,1.731635812,0.323245575,17.08225568,0,49.79267468,0,49.79267468,popu_tre
73204,66728.07986,2.688387303,0,0.610267552,1.895349032,0,0,33.22923339,11.27000436,1.458410256,1.102744376,0,2.8200794,0.013607714,44.4358653,0,44.4358653,popu_tre
73205,3643.206623,1.188522617,0,3.755191585,1.233039676,0,0,16.63061706,4.249942107,0,0,0.550154495,33.56243228,0,37.21490089,0,37.21490089,popu_tre
73214,20074.67984,1.64396465,0,0.535059454,4.670336836,0,0,27.92965808,16.54853846,4.577797551,0.715603547,0,1.838995273,0.014100979,40.84884281,0,40.84884281,popu_tre
73215,592.6199875,1.142817461,0,1.995649615,1.575964586,0,0,13.30724955,11.16792615,0,0,0.558403202,13.54392703,0,56.08112016,0,56.08112016,popu_tre
73224,41865.75636,1.24396988,0,0.775433644,2.252081566,0,0,32.66919599,12.54955105,5.385627904,0.750952274,0,2.526865023,0.017918227,41.32503826,0,41.32503826,popu_tre
73225,2218.019985,0,0,0.349305833,0.490383838,0,0,8.872917245,2.671790362,0.13865505,0,0.157797792,26.28975975,0,59.73066693,0,59.73066693,popu_tre
73234,27055.77657,1.504531446,0,2.05538945,1.918632991,0,0,28.20668346,6.466910012,3.198386481,0.438389764,0,6.879893153,0.049838966,48.86498517,0,48.86498517,popu_tre
73235,19063.18994,0.223451881,0,1.664440831,1.096722423,0,0,24.19006156,6.34211455,1.614992111,3.868405637,0.032212973,13.08480479,0,47.19040003,0,47.19040003,popu_tre
73244,83473.87969,1.987177198,0,1.20383102,1.529457454,0,0,32.64955131,6.697268893,3.644451234,0.799422026,0,5.06327122,0.034618001,46.00347617,0,46.00347617,popu_tre
73245,11700.15,0.134351967,0,1.219939411,2.062824727,0,0,25.26440787,13.27505198,1.344781117,5.819197164,0.103608919,5.965749872,0,44.25959303,0,44.25959303,popu_tre
73254,84547.75309,1.761213421,0,1.162075495,0.932466224,0,0,32.85080074,7.840203765,3.157848951,1.003381932,0,5.178182972,0.029400803,45.81062315,0,45.81062315,popu_tre
73255,13058.46336,0.633724088,0,2.322489274,2.004936655,0,0,29.22280769,13.10879447,1.192480597,2.781204603,0.180789772,4.927433612,0,43.25669825,0,43.25669825,popu_tre
73264,59119.58329,1.590011853,0,1.316099537,1.63733388,0,0,32.68920218,7.590919934,4.558387394,0.793989634,0,4.988810145,0.147938571,44.32365328,0,44.32365328,popu_tre
73265,11337.31656,0.120497867,0,0.400299681,0.567929479,0,0,15.01417997,6.413258988,0.401290871,2.124913976,0.267514521,15.41751014,0.031021983,58.69651594,0,58.69651594,popu_tre
74014,666.8466682,0,0,0.03578064,1.19106369,0,0,22.05373126,20.84589278,17.49909699,0.05093285,0,1.855116714,0,35.59522508,0,35.59522508,popu_tre
74015,48904.60338,3.394624123,0,0.801039024,0.975349149,0,0,33.19876776,13.11871855,3.24589502,1.488210642,0,3.28588484,0.032023084,39.99556904,0,39.99556904,popu_tre
74016,3829.023293,2.613158763,0,4.69292077,0.022485559,0,0,32.08151931,0.607806705,0,0.140113678,0.012021539,13.83883343,0,45.65482005,0,45.65482005,popu_tre
74024,1579.996658,1.534733158,0,2.188819986,2.908648644,0,0,21.55949253,10.37850592,6.713724868,0,0,3.04520396,0,48.53942475,0,48.53942475,popu_tre
74025,49759.77002,3.397762826,0,0.389938632,1.615846594,0,0,34.05604889,22.919882,3.866945761,1.323783902,0,1.335568469,0.014549554,30.75528365,0,34.05604889,pice_gla
74026,7538.999939,2.067918913,0,4.160490857,1.422426639,0,0,32.06146323,2.580250762,0,3.026577135,0.285431912,11.35466516,0,41.92110561,0,41.92110561,popu_tre
74034,6028.766655,0.416467013,0,0.703297464,5.154792118,0,0,14.24964623,25.95861214,8.124189731,0,0.003555538,3.312768022,0,41.13949165,0,41.13949165,popu_tre
74035,71802.32023,4.450922052,0,1.020313831,0.717443172,0,0,35.03227226,12.09577364,1.490038035,1.892452821,0,3.587397769,0.016836641,39.35209939,0,39.35209939,popu_tre
74036,222.3899918,0,0,0,0,0,0,7.366714191,0,0,0,0,35.36649669,0,55.8921553,0,55.8921553,popu_tre
74044,10962.60002,1.009633549,0,1.158691296,5.319519443,0,0,21.77759418,21.53477628,4.672829195,0,0.00502277,3.430766943,0,40.31607149,0,40.31607149,popu_tre
74045,86109.09673,4.176978753,0,3.181042045,0.375481727,0,0,32.06681651,9.13955244,0.534550343,2.791656298,0,4.186793202,0.009968779,43.34821921,0,43.34821921,popu_tre
74046,5465.16671,0.098881989,0,0.323952387,0.001282344,0,0,11.1634114,1.091328348,0,0.53398444,0,14.07924818,0,72.17036838,0,72.17036838,popu_tre
