Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height
157,AB,4,ABIE,LAS,, 25.60, 16.81
158,AB,4,ABIE,LAS,, 25.70, 16.84
159,AB,4,ABIE,LAS,, 25.80, 16.86
160,AB,4,ABIE,LAS,, 25.90, 16.89
161,AB,4,ABIE,LAS,, 26.00, 16.91
162,AB,4,ABIE,LAS,, 26.10, 16.94
163,AB,4,ABIE,LAS,, 26.20, 16.96
164,AB,4,ABIE,LAS,, 26.30, 16.99
165,AB,4,ABIE,LAS,, 26.40, 17.01
166,AB,4,ABIE,LAS,, 26.50, 17.04
167,AB,4,ABIE,LAS,, 26.60, 17.06
168,AB,4,ABIE,LAS,, 26.70, 17.09
169,AB,4,ABIE,LAS,, 26.80, 17.11
170,AB,4,ABIE,LAS,, 26.90, 17.13
171,AB,4,ABIE,LAS,, 27.00, 17.16
172,AB,4,ABIE,LAS,, 27.10, 17.18
173,AB,4,ABIE,LAS,, 27.20, 17.21
174,AB,4,ABIE,LAS,, 27.30, 17.23
175,AB,4,ABIE,LAS,, 27.40, 17.26
176,AB,4,ABIE,LAS,, 27.50, 17.28
177,AB,4,ABIE,LAS,, 27.60, 17.30
178,AB,4,ABIE,LAS,, 27.70, 17.33
179,AB,4,ABIE,LAS,, 27.80, 17.35
180,AB,4,ABIE,LAS,, 27.90, 17.38
181,AB,4,ABIE,LAS,, 28.00, 17.40
182,AB,4,ABIE,LAS,, 28.10, 17.42
183,AB,4,ABIE,LAS,, 28.20, 17.45
184,AB,4,ABIE,LAS,, 28.30, 17.47
185,AB,4,ABIE,LAS,, 28.40, 17.49
186,AB,4,ABIE,LAS,, 28.50, 17.52
187,AB,4,ABIE,LAS,, 28.60, 17.54
188,AB,4,ABIE,LAS,, 28.70, 17.56
189,AB,4,ABIE,LAS,, 28.80, 17.59
190,AB,4,ABIE,LAS,, 28.90, 17.61
191,AB,4,ABIE,LAS,, 29.00, 17.63
192,AB,4,ABIE,LAS,, 29.10, 17.66
193,AB,4,ABIE,LAS,, 29.20, 17.68
194,AB,4,ABIE,LAS,, 29.30, 17.70
195,AB,4,ABIE,LAS,, 29.40, 17.73
196,AB,4,ABIE,LAS,, 29.50, 17.75
197,AB,4,ABIE,LAS,, 29.60, 17.77
198,AB,4,ABIE,LAS,, 29.70, 17.80
199,AB,4,ABIE,LAS,, 29.80, 17.82
200,AB,4,ABIE,LAS,, 29.90, 17.84
201,AB,4,ABIE,LAS,, 30.00, 17.86
202,AB,4,ABIE,LAS,, 30.10, 17.89
203,AB,4,ABIE,LAS,, 30.20, 17.91
204,AB,4,ABIE,LAS,, 30.30, 17.93
205,AB,4,ABIE,LAS,, 30.40, 17.95
206,AB,4,ABIE,LAS,, 30.50, 17.98
207,AB,4,ABIE,LAS,, 30.60, 18.00
208,AB,4,ABIE,LAS,, 30.70, 18.02
209,AB,4,ABIE,LAS,, 30.80, 18.04
210,AB,4,ABIE,LAS,, 30.90, 18.07
211,AB,4,ABIE,LAS,, 31.00, 18.09
212,AB,4,ABIE,LAS,, 31.10, 18.11
213,AB,4,ABIE,LAS,, 31.20, 18.13
214,AB,4,ABIE,LAS,, 31.30, 18.16
215,AB,4,ABIE,LAS,, 31.40, 18.18
216,AB,4,ABIE,LAS,, 31.50, 18.20
217,AB,4,ABIE,LAS,, 31.60, 18.22
218,AB,4,ABIE,LAS,, 31.70, 18.24
219,AB,4,ABIE,LAS,, 31.80, 18.27
220,AB,4,ABIE,LAS,, 31.90, 18.29
221,AB,4,ABIE,LAS,, 32.00, 18.31
